tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
315681,107761,10/12/2015,16,0,OnCurb,Alive,Good,Quercus phellos,willow oak,4orMore,Helpful,NoDamage,Volunteer,"TrunkOther,BranchOther",No,No,No,No,No,Yes,No,No,Yes,885 PARK AVENUE,10075,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1014000,New York,40.77509707,-73.9606684,995143.6137,221668.0193,4,140,1043230,1014130001
439811,407081,11/07/2015,4,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,53 AGNES PLACE,10305,Staten Island,502,5,Staten Island,50,64,23,SI36,Old Town-Dongan Hills-South Beach,5007000,New York,40.58887104,-74.07312565,963939.8638,153826.4949,50,70,5050445,5034120058
397042,511481,10/29/2015,4,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,Helpful,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1501 WILLIAMSBRIDGE ROAD,10461,Bronx,211,2,Bronx,13,82,34,BX37,Van Nest-Morris Park-Westchester Square,2025600,New York,40.84461993,-73.84652657,1026712.903,247032.4233,13,256,2044164,2040790001
500041,410306,12/07/2015,6,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,39 CASE AVENUE,10309,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5019800,New York,40.51730428,-74.19502697,930024.613,127804.8875,51,198,5092578,5066700075
317254,514730,10/13/2015,3,0,OnCurb,Alive,Poor,Prunus cerasifera,purple-leaf plum,1or2,Helpful,NoDamage,Volunteer,WiresRope,No,No,No,Yes,No,No,No,No,No,4066 WHITE PLAINS ROAD,10466,Bronx,212,2,Bronx,12,83,36,BX44,Williamsbridge-Olinville,2040600,New York,40.89035573,-73.85890595,1023260.95,263689.9832,12,406,2095097,2048420045
374394,309922,10/24/2015,7,0,OnCurb,Alive,Fair,Prunus cerasifera,purple-leaf plum,None,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,85-059 112 STREET,11418,Richmond Hill,409,4,Queens,32,28,10,QN54,Richmond Hill,4013000,New York,40.69961908,-73.83744859,1029322.622,194208.38,32,130,4192500,4092200072
202592,406089,09/04/2015,5,0,OnCurb,Alive,Fair,Prunus virginiana,'Schubert' chokecherry,None,None,Damage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,108 LOCUST AVENUE,10306,Staten Island,502,5,Staten Island,50,62,24,SI45,New Dorp-Midland Beach,5012200,New York,40.57601542,-74.1144677,952451.2841,149155.1693,50,122,5052358,5036240041
309181,311990,10/11/2015,3,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,None,None,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,133-15 ROOSEVELT AVENUE,11354,Flushing,407,4,Queens,20,40,11,QN22,Flushing,4087100,New York,40.75855527,-73.83334089,1030420.761,215682.7705,20,871,4540688,4049730056
33471,317553,06/24/2015,20,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,95-036 150 ROAD,11417,Ozone Park,410,4,Queens,32,23,15,QN56,Ozone Park,4008800,New York,40.66887999,-73.83920773,1028855.399,183008.3535,32,88,4248830,4115470059
96390,321377,07/27/2015,12,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,"Stones,RootOther,BranchOther",Yes,No,Yes,No,No,No,No,No,Yes,222-030 BIRMINGTON PARKWAY,11364,Oakland Gardens,411,4,Queens,23,26,16,QN42,Oakland Gardens,4138501,New York,40.75821001,-73.75782256,1051342.442,215605.8051,23,138501,4161009,4074910006
60904,211870,07/11/2015,27,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,"Stones,WiresRope",Yes,No,No,Yes,No,No,No,No,No,566 BAINBRIDGE STREET,11233,Brooklyn,316,3,Brooklyn,41,55,25,BK79,Ocean Hill,3037300,New York,40.68284142,-73.91419968,1008046.903,188065.6174,41,373,3040921,3015110002
496046,516267,12/04/2015,24,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,875 MORRISON AVENUE,10473,Bronx,209,2,Bronx,17,85,32,BX09,Soundview-Castle Hill-Clason Point-Harding Park,2002800,New York,40.82167307,-73.87292856,1019420.156,238660.3462,17,28,2092726,2036270020
158863,106912,08/19/2015,2,0,OnCurb,Alive,Good,Gymnocladus dioicus,Kentucky coffeetree,1or2,None,NoDamage,TreesCount Staff,TrunkLights,No,No,No,No,Yes,No,No,No,No,153 WEST 106 STREET,10025,New York,107,1,Manhattan,7,69,30,MN09,Morningside Heights,1019300,New York,40.80019583,-73.96491587,993963.5344,230811.8577,7,193,1055955,1018610008
35555,409869,06/25/2015,10,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,251 CONNECTICUT STREET,10307,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5024402,New York,40.50112529,-74.24890607,915027.3307,121948.493,51,24402,5115052,5079250054
496275,508061,12/04/2015,5,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1056 BOYNTON AVENUE,10472,Bronx,209,2,Bronx,18,85,32,BX55,Soundview-Bruckner,2005001,New York,40.82578678,-73.87749352,1018154.596,240157.3176,18,5001,2023487,2037150030
524671,343240,12/17/2015,7,0,OnCurb,Alive,Good,Prunus,cherry,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,94-058 CORONA AVENUE,11373,Elmhurst,404,4,Queens,25,39,13,QN29,Elmhurst,4046100,New York,40.74207312,-73.86807613,1020806.86,209661.3993,25,461,4046362,4018770024
408619,303074,10/31/2015,6,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,59-055 47 AVENUE,11377,Woodside,402,4,Queens,26,30,12,QN63,Woodside,4024500,New York,40.73992827,-73.9048165,1010626.749,208866.7657,26,245,4432198,4023140001
264303,106949,09/27/2015,8,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,308 WEST 105 STREET,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1019100,New York,40.80121246,-73.96979337,992613.0033,231181.747,6,191,1057219,1018910029
242556,107449,09/21/2015,7,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,3 EAST 66 STREET,10065,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1012200,New York,40.76843371,-73.96919159,992783.8117,219239.3923,4,122,1072021,1013817501
681867,220329,08/25/2016,7,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,90 MARION STREET,11233,Brooklyn,303,3,Brooklyn,36,56,25,BK61,Crown Heights North,3038100,New York,40.67984925,-73.92721677,1004437.491,186972.2163,36,381,3047918,3016950011
211326,302082,09/09/2015,14,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,24-065 23 STREET,11102,Astoria,401,4,Queens,22,36,12,QN72,Steinway,4009500,New York,40.77462198,-73.92231163,1005767.382,221502.0236,22,95,4019123,4008730007
431360,504856,11/05/2015,2,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,718 EAST 175 STREET,10457,Bronx,206,2,Bronx,17,79,33,BX17,East Tremont,2036902,New York,40.84243298,-73.8928728,1013890.849,246216.5604,17,36902,2117345,2029480011
49190,509962,07/05/2015,13,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,3211 EAST TREMONT AVENUE,10461,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2019400,New York,40.83622663,-73.83365862,1030279.001,243980.935,13,184,2073041,2053310019
548176,219113,02/23/2016,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,"Stones,RootOther",Yes,No,Yes,No,No,No,No,No,No,189 ASHLAND PLACE,11217,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3003300,New York,40.68928889,-73.97845898,990223.8703,190403.7013,35,33,3058657,3020960022
322197,330543,10/13/2015,3,0,OnCurb,Alive,Good,Ostrya virginiana,American hophornbeam,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,241-003 149 AVENUE,11422,Rosedale,413,4,Queens,31,31,10,QN05,Rosedale,4066400,New York,40.65260532,-73.74310331,1055533.064,177142.6254,31,664,4291907,4137490001
556307,505574,05/04/2016,5,0,OnCurb,Alive,Good,Tilia tomentosa,silver linden,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,707 EAST 189 STREET,10458,Bronx,206,2,Bronx,15,78,34,BX06,Belmont,2038900,New York,40.85630642,-73.88300567,1016614.216,251274.6694,15,389,2012606,2030910097
480510,408977,11/24/2015,32,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,161 FIELDSTONE ROAD,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029104,New York,40.61148781,-74.16552187,938293.0532,162101.3071,50,29104,5031544,5015990078
262259,338477,09/26/2015,4,0,OnCurb,Alive,Fair,Tilia americana,American linden,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,7009 CATAMARAN WAY,11692,Arverne,414,4,Queens,31,23,15,QN12,Hammels-Arverne-Edgemere,4095400,New York,40.58811693,-73.7987502,1040146.311,153607.4852,31,954,4538166,4160920026
219026,223089,09/12/2015,18,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,634 3 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,Park Slope-Gowanus,3016500,New York,40.66835618,-73.97423165,991398.4601,182777.6279,39,165,3025485,3010810036
300179,404756,10/09/2015,3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,NYC Parks Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,664 BEMENT AVENUE,10310,Staten Island,501,5,Staten Island,49,61,24,SI35,New Brighton-Silver Lake,5012100,New York,40.62507727,-74.11076845,953501.5224,167028.3261,49,121,5008357,5003040053
296029,310903,10/08/2015,23,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,157-017 ROSE AVENUE,11365,Fresh Meadows,407,4,Queens,20,25,11,QN52,East Flushing,4121100,New York,40.74904504,-73.80920063,1037116.044,212231.5375,20,1203,4124211,4054960025
449884,406741,11/12/2015,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,224 LIBERTY AVENUE,10305,Staten Island,502,5,Staten Island,50,64,24,SI36,Old Town-Dongan Hills-South Beach,5011401,New York,40.58668407,-74.09420436,958084.5454,153035.3187,50,11401,5050713,5035360055
46387,307132,07/02/2015,4,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,71-018 MAIN STREET,11367,Flushing,408,4,Queens,24,27,15,QN37,Kew Gardens Hills,4077906,New York,40.72743783,-73.82213153,1033549.184,204351.8259,24,77902,4143319,4066190032
32546,409597,06/24/2015,6,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,81 PEARSALL STREET,10305,Staten Island,502,5,Staten Island,50,64,23,SI36,Old Town-Dongan Hills-South Beach,5007000,New York,40.58910102,-74.07363666,963798.0051,153910.4015,50,70,5105957,5034120063
115707,109732,08/04/2015,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2588 ADAM C POWELL BOULEVARD,10039,New York,110,1,Manhattan,9,71,30,MN03,Central Harlem North-Polo Grounds,1023600,New York,40.82448006,-73.93698817,1001689.346,239663.7986,9,234,1084144,1020350001
432113,202138,11/05/2015,9,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,586 CONDUIT BOULEVARD,11208,Brooklyn,305,3,Brooklyn,42,54,19,BK82,East New York,3120000,New York,40.67606575,-73.86781295,1020916.079,185613.0583,42,1200,3094772,3042190001
